ticker	lastOpen	lastClose	Index	Market Cap	Income	Sales	Book/sh	Cash/sh	Dividend	Dividend %	Employees	Optionable	Shortable	Recom	P/E	Forward P/E	PEG	P/S	P/B	P/C	P/FCF	Quick Ratio	Current Ratio	Debt/Eq	LT Debt/Eq	SMA20	EPS (ttm)	EPS next Y	EPS next Q	EPS this Y	EPS next 5Y	EPS past 5Y	Sales past 5Y	Sales Q/Q	EPS Q/Q	Earnings	SMA50	Insider Own	Insider Trans	Inst Own	ROA	ROE	ROI	Gross Margin	Oper. Margin	Profit Margin	Payout	Shs Outstand	Shs Float	Short Float	Short Ratio	Target Price	52W Range	52W High	52W Low	RSI (14)	Rel Volume	Avg Volume	Perf Week	Perf Month	Perf Quarter	Perf Half Y	Perf Year	Perf YTD	Beta	ATR	Volatility	Prev Close	Price
FUND	7.72	7.64	-	224.03M	-	7.61M	9.38	-	0.79	10.34%	-	No	Yes	-	2.53	-	-	29.42	0.81	-	-	-	-	-	-	-2.08%	3.02	-	-	-	-	-	-	35.50%	-83.70%	-	-7.32%	47.14%	0.47%	17.20%	-	-	-	-	-	-	-	29.32M	-	-	0.35	-	7.40 - 9.51	-19.65%	3.24%	41.86	1.34	53.74K	1.06%	-12.98%	-15.30%	-12.28%	-8.50%	-11.16%	-	0.22	2.86% 2.83%	7.73	-
ARWR	41.43	41.73	-	4.46B	-111.80M	263.40M	4.29	3.76	-	-	329	Yes	Yes	1.90	-	-	-	16.93	9.73	11.09	-	3.00	3.00	0.00	0.00	25.81%	-1.09	-1.97	-0.57	-61.70%	7.33%	-0.30%	287.50%	362.80%	259.20%	May 10 AMC	19.81%	3.90%	-2.70%	66.80%	-16.00%	-26.80%	-36.50%	-	-45.00%	-42.40%	-	105.55M	102.93M	4.84%	5.63	76.83	26.81 - 84.83	-50.81%	55.65%	67.98	0.68	884.68K	18.52%	19.60%	-13.32%	-30.66%	-36.11%	-37.06%	1.36	2.38	6.64% 6.94%	42.17	76.83
GSMG	0.87	0.88	-	57.20M	35.30M	153.00M	2.43	1.19	-	-	162	No	Yes	2.00	1.63	1.83	-	0.37	0.36	0.74	1.23	4.40	4.40	0.03	0.00	10.14%	0.54	0.48	-	9.00%	-	-	-	-14.00%	844.90%	-	14.39%	64.43%	0.00%	11.70%	22.00%	29.70%	21.50%	77.20%	23.70%	23.10%	0.00%	65.38M	16.78M	0.64%	0.94	7.50	0.57 - 3.18	-72.37%	55.28%	61.84	0.53	113.61K	1.15%	14.29%	-10.21%	-24.14%	-61.40%	-25.42%	-0.70	0.06	6.37% 8.30%	0.84	7.50
CSBR	7.98	7.9	-	105.70M	0.40M	46.80M	0.68	0.65	-	-	194	Yes	Yes	2.00	263.33	37.62	17.56	2.26	11.62	12.15	105.70	1.20	1.20	0.00	0.00	3.03%	0.03	0.21	0.03	114.90%	15.00%	15.10%	29.70%	22.20%	-17.30%	-	4.78%	24.26%	0.00%	72.40%	1.50%	5.40%	3.90%	50.80%	1.30%	0.90%	0.00%	13.50M	10.24M	0.58%	19.73	14.67	6.81 - 11.00	-28.18%	16.01%	56.16	0.57	2.99K	-1.25%	7.05%	-4.36%	-5.50%	-16.14%	-5.50%	0.93	0.21	2.84% 2.71%	7.82	14.67
INMB	10.02	10.21	-	181.13M	-32.70M	0.30M	4.23	3.76	-	-	10	Yes	Yes	1.70	-	-	-	603.75	2.41	2.72	-	23.90	23.90	0.19	0.19	27.33%	-1.92	-1.70	-0.59	-86.40%	-	-	-	1381.80%	-21.40%	May 05 AMC	36.61%	23.90%	0.39%	12.80%	-36.10%	-45.50%	-30.80%	-	-	-	-	17.87M	11.65M	9.45%	7.93	14.33	4.63 - 30.37	-66.38%	120.58%	72.19	0.19	138.87K	15.50%	46.28%	24.06%	11.95%	-49.53%	0.10%	2.06	0.72	6.72% 9.28%	10.09	14.33
ALZN	0.98	0.98	-	88.33M	-9.70M	-	0.13	0.13	-	-	2	Yes	Yes	2.00	-	-	-	-	7.54	7.49	-	26.60	26.60	0.00	0.00	8.81%	-0.11	-0.20	-0.03	-14.40%	-	-	-	-	-107.40%	-	5.35%	3.70%	-	3.60%	-83.60%	-92.10%	-	-	-	-	-	94.17M	46.33M	2.27%	1.48	11.25	0.80 - 8.28	-88.16%	22.47%	58.50	0.31	714.07K	13.42%	6.16%	-10.05%	-50.73%	-84.39%	-48.40%	-	0.06	8.53% 6.39%	0.98	11.25
GRTS	2.71	2.78	-	201.69M	-111.90M	15.70M	2.19	2.37	-	-	201	Yes	Yes	2.00	-	-	-	12.85	1.27	1.17	-	5.60	5.60	0.00	0.00	14.33%	-1.58	-1.68	-0.41	65.80%	-	-7.50%	-	-81.90%	-308.10%	May 05 AMC	20.66%	1.00%	0.00%	55.60%	-44.00%	-56.50%	-34.80%	-	-	-	-	86.28M	70.65M	5.22%	2.96	11.33	1.71 - 14.42	-80.72%	62.57%	63.68	0.47	1.25M	14.88%	23.01%	-29.97%	-56.83%	-66.51%	-78.38%	0.55	0.20	7.82% 7.89%	2.77	11.33
SSP	12.92	12.82	-	1.08B	84.20M	2.31B	19.01	0.42	-	-	5600	Yes	Yes	2.60	14.03	7.75	1.40	0.47	0.67	30.89	10.10	1.40	1.40	1.97	1.96	-2.37%	0.91	1.65	0.06	-58.70%	10.00%	1.40%	21.20%	4.60%	203.70%	May 06 BMO	-13.13%	2.50%	-3.63%	78.30%	1.40%	5.90%	8.40%	50.60%	17.40%	3.90%	0.00%	82.79M	58.69M	2.34%	4.08	22.60	12.04 - 23.61	-45.70%	6.48%	39.59	1.28	337.11K	2.81%	-16.97%	-37.71%	-34.42%	-33.02%	-33.75%	1.78	0.59	5.72% 4.55%	12.98	22.60
ENTG	91.56	91.49	-	13.80B	450.20M	2.44B	13.42	2.34	0.40	0.44%	6850	Yes	Yes	1.80	27.76	18.89	1.80	5.67	6.82	39.14	122.26	2.20	3.70	0.51	0.51	-6.35%	3.30	4.84	1.05	38.40%	15.39%	34.40%	14.40%	26.70%	48.40%	Apr 26 BMO	-12.79%	0.60%	-10.74%	-	14.60%	27.00%	17.30%	46.60%	23.70%	18.50%	10.20%	135.67M	128.16M	5.72%	4.77	151.08	85.92 - 158.00	-42.09%	6.48%	40.46	1.17	1.54M	-0.69%	-18.81%	-19.02%	-30.74%	-20.82%	-33.98%	1.20	4.88	4.63% 4.60%	92.78	151.08
TKAT	1.79	1.79	-	45.00M	-13.50M	0.12M	0.14	0.06	-	-	7	Yes	Yes	-	-	-	-	375.00	12.79	30.00	-	0.30	0.30	0.15	0.00	0.76%	-1.08	-	-	-	-	-31.50%	-63.70%	-	16.20%	-	-8.02%	21.81%	0.00%	0.90%	-	-	-480.30%	-	-	-	-	14.37M	-	-	0.22	-	1.55 - 14.85	-87.95%	15.48%	47.70	0.06	1.06M	7.83%	-10.95%	-46.88%	-48.86%	-84.91%	-55.80%	3.03	0.14	6.86% 7.89%	1.83	-
XELA	0.11	0.11	-	48.50M	-163.60M	1.15B	-1.77	0.08	-	-	17000	Yes	Yes	2.50	-	-	-	0.04	-	1.27	-	0.60	0.60	-	-	-24.25%	-0.93	-0.17	-0.06	66.70%	-	11.60%	8.10%	-6.90%	77.70%	May 10 BMO	-52.34%	0.10%	0.00%	20.00%	-14.90%	22.20%	4.40%	23.20%	2.20%	-14.30%	-	343.73M	-	-	0.75	1.18	0.10 - 5.45	-98.04%	3.88%	29.84	2.41	65.94M	-6.47%	-44.21%	-72.56%	-85.54%	-96.18%	-87.80%	1.98	0.02	8.48% 12.92%	0.11	1.18
ARE	149.07	146.35	S&P 500	24.42B	403.80M	2.25B	107.02	4.65	4.72	3.23%	559	Yes	Yes	1.70	53.22	47.70	-	10.86	1.37	31.50	-	-	-	0.61	0.61	2.84%	2.75	3.07	0.61	-36.50%	-8.40%	31.40%	18.10%	28.20%	-	Jul 25 AMC	-7.63%	1.00%	-3.04%	-	-	-	1.60%	70.30%	-	-	-	158.20M	-	-	5.83	210.64	130.00 - 224.95	-34.94%	12.58%	45.52	0.96	1.11M	0.91%	-10.94%	-29.04%	-29.18%	-21.70%	-34.36%	0.89	4.32	2.37% 2.98%	149.61	210.64
JT	1.54	1.46	-	31.80M	-	805.05M	3.16	2.77	-	-	708	No	Yes	2.00	-	-	-	0.04	0.46	0.53	-	1.70	1.70	0.40	0.00	-13.57%	-2.04	-	-	34.40%	-	33.20%	17.70%	-31.30%	57.90%	Jun 17 BMO	-5.62%	1.22%	0.00%	15.40%	-	-	-37.80%	-	-	-	-	21.18M	2.39M	5.19%	1.20	-	0.73 - 2.44	-40.16%	100.29%	36.96	0.55	103.36K	-13.10%	-17.05%	29.20%	36.45%	-35.96%	41.75%	0.44	0.14	10.77% 8.04%	1.50	-
OLIT	10.02	10.01	-	191.89M	-	-	7.41	0.01	-	-	3	No	Yes	-	-	-	-	-	1.35	959.47	-	5.40	5.40	0.00	0.00	0.18%	-	-	-	-	-	-	-	-	-	-	0.27%	-	-	65.70%	-	-	-	-	-	-	-	19.17M	14.38M	0.00%	0.01	-	9.84 - 10.03	-0.20%	1.73%	55.73	0.03	57.98K	0.01%	0.20%	1.63%	-	-	1.73%	-	0.02	0.11% 0.10%	10.01	-
AQN	13.39	13.48	-	11.77B	431.50M	3.09B	10.81	0.14	0.93	6.91%	3445	Yes	Yes	2.60	20.52	16.62	2.61	3.80	1.25	97.42	-	0.80	1.00	1.28	1.28	-0.83%	0.66	0.81	0.14	-70.60%	7.85%	-1.50%	15.80%	15.90%	574.90%	May 12 AMC	-3.82%	0.05%	0.00%	43.17%	2.00%	6.30%	3.80%	71.90%	19.10%	13.90%	126.00%	675.58M	675.17M	3.04%	9.14	16.50	12.88 - 16.10	-16.27%	4.64%	44.70	0.71	2.25M	0.37%	-8.11%	-15.70%	-4.53%	-9.47%	-6.71%	0.29	0.32	2.51% 2.23%	13.40	16.50
VTYX	13.68	13.92	-	708.95M	-	-	5.12	5.00	-	-	31	No	Yes	1.60	-	-	-	-	2.72	2.79	-	14.50	14.50	0.00	0.00	3.07%	-27.46	-2.13	-0.54	-193.90%	-	-	-	-	-31.70%	May 12 AMC	-7.89%	0.10%	0.00%	99.20%	-	-	-	-	-	-	-	50.59M	48.44M	6.61%	16.82	39.71	9.50 - 26.00	-46.46%	46.53%	49.40	1.01	190.49K	13.82%	-12.95%	3.80%	-19.54%	-	-29.91%	-	1.13	6.35% 8.24%	13.94	39.71
JBLU	8.4	8.21	-	2.69B	-190.00M	7.04B	11.23	8.48	-	-	19304	Yes	Yes	3.00	-	7.81	-	0.38	0.73	0.97	1.70	0.80	0.80	1.09	0.99	-5.62%	-0.59	1.05	-0.09	88.30%	-	-17.80%	-1.70%	136.80%	-1.90%	Apr 26 BMO	-16.09%	0.30%	-0.84%	80.00%	-1.40%	-5.00%	0.00%	63.70%	-2.20%	-2.70%	-	320.50M	318.74M	4.60%	1.34	13.50	7.99 - 16.65	-50.68%	2.75%	37.68	0.93	10.93M	-1.91%	-23.13%	-34.06%	-44.07%	-48.88%	-42.35%	1.53	0.44	4.38% 5.06%	8.40	13.50
PHG	21.34	21.6	-	18.52B	498.80M	17.52B	16.90	-	0.91	4.22%	78548	Yes	Yes	1.70	40.07	11.68	3.61	1.06	1.28	-	4.56	-	-	0.48	0.45	-0.70%	0.54	1.85	-	-38.20%	11.10%	-4.30%	-0.30%	2.40%	-376.50%	Jul 25 BMO	-9.42%	-	-	12.50%	-	22.60%	3.20%	41.70%	2.50%	18.10%	26.10%	869.37M	867.99M	0.24%	1.00	45.07	20.20 - 48.72	-55.67%	6.90%	43.73	0.65	2.04M	0.33%	-14.89%	-29.41%	-41.81%	-53.43%	-41.38%	0.97	0.72	1.84% 2.15%	20.86	45.07
ZS	163.86	166.89	-	23.75B	-373.60M	970.00M	3.76	11.65	-	-	3153	Yes	Yes	1.90	-	159.70	-	24.49	44.39	14.33	117.87	2.20	2.20	1.80	1.80	7.65%	-2.67	1.04	0.20	-117.00%	54.39%	-44.40%	53.00%	62.60%	-67.30%	May 26 AMC	4.75%	0.80%	-6.35%	46.20%	-15.80%	-70.20%	-14.70%	77.40%	-32.20%	-38.50%	-	141.42M	84.12M	7.88%	2.67	217.01	125.12 - 376.11	-55.63%	33.38%	55.17	0.59	2.48M	11.62%	2.51%	-26.18%	-36.38%	-26.54%	-48.06%	1.10	9.73	5.99% 5.91%	167.43	217.01
JMIA	6.32	6.37	-	628.03M	-271.40M	192.50M	3.56	4.27	-	-	4484	Yes	Yes	-	-	-	-	3.26	1.79	1.49	-	3.10	3.20	0.03	0.02	-2.44%	-2.74	-2.56	-	-2.40%	-	-	-	44.20%	-157.60%	-	-4.92%	-	-	25.30%	-44.70%	-60.70%	-56.70%	59.00%	-	-	-	98.59M	-	-	1.40	6.63	4.47 - 26.17	-75.66%	42.35%	47.22	0.98	4.97M	5.12%	-18.23%	-37.36%	-37.73%	-75.08%	-44.12%	-	0.54	8.54% 8.19%	6.45	6.63
NTUS	32.82	32.87	-	1.13B	12.70M	478.30M	12.63	2.44	-	-	1400	Yes	Yes	3.00	88.12	20.94	4.01	2.37	2.60	13.45	25.66	1.90	2.50	0.00	0.00	1.57%	0.37	1.57	0.32	178.40%	22.00%	-21.30%	4.40%	4.30%	-21.70%	May 05 AMC	0.66%	0.40%	0.00%	96.20%	2.30%	3.00%	4.10%	57.00%	4.90%	2.70%	0.00%	34.12M	33.91M	4.73%	2.92	-	20.90 - 33.93	-3.12%	57.26%	56.25	0.25	548.79K	0.31%	0.77%	30.28%	40.29%	31.37%	38.52%	0.23	0.42	0.94% 1.52%	32.79	-
UVV	58.36	53.06	-	1.46B	86.60M	2.10B	54.11	2.97	3.16	5.96%	25000	Yes	Yes	-	15.28	-	-	0.69	0.98	17.84	-	1.20	3.40	0.52	0.39	-10.21%	3.47	-	-	-1.50%	-	31.60%	0.30%	4.80%	-34.80%	May 25 AMC	-11.37%	2.50%	-2.24%	84.80%	3.50%	6.60%	6.00%	20.00%	7.60%	4.10%	89.00%	24.77M	24.03M	1.95%	3.54	-	46.24 - 64.13	-17.26%	14.75%	27.17	2.01	132.35K	-12.30%	-16.14%	-10.39%	-6.27%	-4.50%	-3.39%	0.61	1.78	3.65% 2.76%	59.21	-
LDOS	101.59	101.63	S&P 500	13.87B	723.00M	13.92B	28.45	2.18	1.44	1.42%	43000	Yes	Yes	2.00	20.00	14.16	3.03	1.00	3.57	46.71	23.96	0.90	1.00	1.30	1.16	2.02%	5.08	7.18	1.58	20.70%	6.60%	17.50%	14.30%	5.40%	-12.20%	Aug 02 BMO	-0.29%	0.70%	-5.71%	83.30%	5.50%	17.60%	10.00%	14.80%	8.00%	5.20%	27.60%	139.00M	135.41M	1.14%	2.02	118.10	81.07 - 111.12	-8.54%	25.36%	52.13	0.53	766.91K	0.91%	-5.08%	-5.44%	11.00%	-2.02%	14.32%	0.72	2.50	2.40% 2.51%	101.52	118.10
CRGY	12.4	12.71	-	2.07B	-	1.48B	2.47	0.69	0.68	5.35%	700	Yes	Yes	2.00	-	4.61	-	1.40	5.15	18.44	-	0.50	0.50	3.90	3.90	-10.67%	-607.70	2.76	0.90	-204.20%	-	-	-	-20.60%	27.90%	May 10 AMC	-19.67%	0.20%	0.00%	40.00%	-	-	28.20%	-	-	-	-	169.49M	32.18M	13.76%	13.32	24.00	10.86 - 19.65	-35.32%	17.03%	38.63	0.85	332.57K	1.84%	-30.70%	-29.47%	-6.13%	-	0.24%	-	0.94	7.33% 6.45%	12.24	24.00
ZEAL	14.18	14.97	-	662.27M	-130.70M	35.50M	2.24	3.47	-	-	345	No	Yes	1.70	-	-	-	18.66	6.68	4.32	-	4.80	4.80	1.11	1.09	12.28%	-3.03	-21.88	-0.94	-7.60%	-	-	-	164.90%	27.40%	May 12 BMO	18.18%	-	-	1.90%	-53.30%	-94.90%	-60.90%	62.30%	-	-	-	43.22M	35.92M	0.21%	19.43	31.50	9.93 - 34.30	-56.36%	50.76%	61.22	0.45	3.96K	13.15%	8.16%	5.94%	-30.00%	-52.61%	-29.85%	1.36	0.75	1.14% 2.21%	13.84	31.50
ATXI	0.28	0.28	-	6.21M	-5.60M	-	0.06	0.08	-	-	4	No	Yes	3.00	-	-	-	-	4.69	3.45	-	2.50	2.50	0.00	0.00	6.95%	-0.30	-	-	29.70%	-	10.40%	-	-	-126.50%	-	-4.75%	46.91%	0.00%	4.80%	-287.10%	-439.40%	-	-	-	-	-	20.96M	11.13M	0.84%	0.28	-	0.20 - 2.52	-88.83%	40.65%	51.00	0.49	339.35K	4.46%	-1.30%	-38.65%	-69.75%	-88.79%	-69.02%	1.02	0.04	10.56% 16.51%	0.28	-
FLL	5.76	5.76	-	199.87M	15.30M	179.40M	3.31	3.14	-	-	893	Yes	Yes	2.00	13.85	5.57	0.92	1.11	1.74	1.83	-	10.00	10.00	3.56	3.56	-10.53%	0.42	1.03	0.01	-54.50%	15.00%	26.90%	4.30%	-1.90%	102.40%	May 09 AMC	-17.17%	4.60%	5.10%	58.30%	3.10%	14.00%	8.80%	58.30%	19.70%	8.50%	0.00%	34.26M	32.49M	3.34%	3.28	13.25	4.82 - 12.57	-54.18%	19.50%	39.04	0.52	330.42K	-5.26%	-20.11%	-40.50%	-46.67%	-33.87%	-52.44%	1.93	0.43	10.97% 6.91%	5.82	13.25
LAZY	11.68	11.87	-	137.22M	96.70M	1.34B	16.91	7.75	-	-	1500	Yes	Yes	2.50	2.43	4.99	0.10	0.10	0.70	1.53	-	0.50	1.40	1.14	0.06	-7.19%	4.89	2.38	1.12	364.70%	25.00%	84.40%	-	38.80%	249.30%	May 05 BMO	-23.64%	0.70%	178.61%	86.47%	15.50%	52.00%	24.50%	26.90%	10.90%	7.20%	0.00%	12.80M	10.31M	10.88%	5.96	20.50	11.25 - 25.70	-53.81%	5.51%	34.29	0.35	188.27K	0.76%	-25.25%	-40.26%	-40.59%	-39.59%	-44.89%	1.94	0.80	5.68% 5.35%	11.58	20.50
WAL	73.96	73.51	-	7.98B	940.10M	1.81B	44.50	31.62	1.40	1.90%	3139	Yes	Yes	1.60	8.18	6.24	1.02	4.41	1.65	2.33	-	-	-	0.35	0.35	0.72%	8.99	11.78	2.34	72.00%	8.00%	28.20%	18.80%	45.00%	17.10%	Apr 21 AMC	-3.22%	0.90%	3.81%	92.60%	1.70%	21.30%	21.20%	-	91.80%	52.00%	14.40%	106.00M	105.51M	1.58%	2.17	108.18	68.42 - 124.93	-41.16%	7.44%	48.48	0.41	769.88K	4.12%	-11.63%	-3.43%	-36.61%	-19.68%	-31.71%	1.45	2.61	3.36% 3.42%	73.74	108.18
CYTO	0.49	0.51	-	7.81M	-17.90M	0.06M	0.93	0.06	-	-	17	Yes	Yes	-	-	-	-	122.23	0.54	7.81	-	0.60	0.80	0.00	0.00	-7.36%	-1.33	-	-	3.70%	-	62.60%	-	-	8.80%	Apr 12 BMO	-27.68%	9.55%	0.00%	3.70%	-97.50%	-128.70%	-	-	-	-	-	14.04M	13.73M	3.23%	0.39	-	0.45 - 3.87	-86.94%	12.06%	37.84	0.19	1.14M	4.14%	-24.57%	-50.69%	-71.12%	-84.16%	-72.15%	1.53	0.07	8.29% 12.34%	0.51	-
VIV	8.95	9.06	-	14.62B	1.13B	8.34B	7.84	0.75	0.78	8.65%	34000	Yes	Yes	2.50	13.42	12.65	12.20	1.75	1.16	12.08	19.96	1.00	1.00	0.22	0.15	0.59%	0.68	0.72	0.16	31.50%	1.10%	9.00%	0.70%	4.60%	-19.20%	May 11	-7.19%	88.00%	0.00%	7.70%	5.30%	8.70%	8.50%	43.10%	15.60%	13.60%	514.40%	1.68B	423.39M	3.31%	8.51	11.33	7.43 - 11.69	-22.47%	21.87%	45.16	0.85	1.64M	0.63%	-8.00%	-21.67%	10.44%	17.88%	6.10%	0.53	0.28	2.87% 2.64%	8.95	11.33
BLZE	5.31	5.57	-	167.60M	-30.50M	71.70M	2.87	3.29	-	-	270	Yes	Yes	1.70	-	-	-	2.34	1.94	1.69	-	2.10	2.10	0.39	0.22	5.26%	-0.98	-1.23	-0.30	-215.70%	-	-	-	27.50%	-225.60%	May 05 AMC	-13.00%	20.90%	-5.79%	25.60%	-27.80%	-77.50%	-12.90%	51.20%	-35.30%	-42.60%	-	30.54M	10.07M	3.11%	2.36	15.00	4.85 - 36.50	-84.74%	14.85%	48.97	0.38	132.39K	6.50%	-10.02%	-47.40%	-65.51%	-	-67.02%	-	0.45	7.58% 7.38%	5.44	15.00
CBSH	67.47	67.14	-	8.11B	513.20M	850.40M	24.61	28.51	1.06	1.58%	4563	Yes	Yes	3.00	15.90	15.92	-	9.54	2.73	2.36	24.21	-	-	0.00	0.00	2.18%	4.22	4.22	0.91	55.80%	-	16.10%	3.50%	1.00%	-8.40%	Apr 19 BMO	-0.17%	2.40%	-1.56%	71.10%	1.50%	15.40%	21.90%	-	-	60.40%	24.00%	120.32M	117.56M	3.19%	9.17	70.67	61.81 - 74.72	-10.14%	8.62%	54.08	0.61	409.02K	2.27%	-3.40%	-5.45%	-4.52%	-1.04%	-2.33%	0.81	1.53	2.19% 2.30%	67.18	70.67
EDD	4.35	4.39	-	290.14M	-	-	-	-	0.38	8.66%	-	No	Yes	-	-	-	-	-	-	-	-	-	-	-	-	-2.41%	-	-	-	-	-	-	-	-	-	-	-3.55%	-	-	46.68%	-	-	-	-	-	-	-	66.09M	-	-	0.29	-	4.35 - 6.33	-30.65%	0.92%	39.17	0.44	219.28K	-2.23%	-6.60%	-8.16%	-19.45%	-26.96%	-19.89%	-	0.07	1.30% 1.54%	4.35	-
ITP	1	1.05	-	11.40M	2.80M	152.20M	21.62	1.42	-	-	366	Yes	No	-	21.87	-	1.09	0.07	0.05	0.74	-	2.20	2.40	0.08	0.01	-32.17%	0.05	-	-	107.20%	20.00%	-46.40%	3.60%	-36.00%	79.10%	May 10 AMC	-51.29%	5.47%	0.00%	1.90%	1.20%	1.30%	-1.70%	6.20%	-0.50%	1.80%	0.00%	99.05M	93.63M	0.26%	0.35	-	1.11 - 5.99	-82.47%	-5.58%	28.95	0.57	687.30K	-11.62%	-39.20%	-53.79%	-56.34%	-75.58%	-54.35%	-0.19	0.17	9.67% 12.08%	1.16	-
BSBR	5.39	5.4	-	19.71B	2.86B	16.49B	2.66	15.27	0.73	13.56%	50348	Yes	Yes	2.70	14.10	5.93	1.44	1.19	2.03	0.35	-	-	-	1.02	1.02	-6.18%	0.38	0.91	0.22	15.70%	9.80%	16.40%	0.20%	61.70%	-6.10%	-	-14.13%	13.69%	0.00%	0.70%	1.60%	14.40%	12.20%	-	39.00%	17.30%	742.70%	7.46B	7.46B	0.10%	5.14	7.88	5.06 - 7.92	-31.81%	6.67%	32.55	1.18	1.41M	-1.64%	-17.05%	-27.68%	2.61%	-22.44%	2.99%	1.03	0.18	2.45% 2.57%	5.34	7.88
MSGE	52.09	51.09	-	1.79B	-177.30M	1.37B	61.39	-	-	-	2400	Yes	Yes	2.10	-	129.34	-	1.30	0.83	-	-	1.50	1.50	0.78	0.75	-8.22%	-6.20	0.40	-0.07	84.90%	-	-	-	967.50%	86.10%	May 09 BMO	-18.21%	3.81%	0.00%	94.20%	-3.30%	-8.40%	-11.40%	45.80%	-11.20%	-12.90%	-	34.32M	26.30M	5.44%	6.87	83.17	50.20 - 85.60	-40.32%	1.77%	29.79	0.79	208.17K	-2.91%	-23.14%	-35.39%	-27.13%	-37.91%	-27.37%	-	2.38	4.72% 4.37%	52.17	83.17
IGAC	9.92	9.92	-	372.00M	12.10M	-	7.47	0.00	-	-	-	Yes	Yes	-	30.81	-	-	-	1.33	-	-	0.00	0.00	0.00	0.00	0.16%	0.32	-	-	189.10%	-	-	-	-	-33.10%	-	0.28%	-	-	83.90%	4.00%	4.50%	-	-	-	-	0.00%	37.50M	30.00M	0.45%	2.76	-	9.65 - 9.95	-0.30%	2.80%	63.00	0.01	49.31K	0.20%	0.30%	0.40%	0.92%	1.64%	1.12%	-	0.01	0.14% 0.09%	9.92	-
OP	0.48	0.49	-	14.00M	-	-	2.84	0.63	0.04	8.25%	-	No	Yes	-	-	-	-	-	0.17	0.77	-	-	5.40	0.00	0.00	-2.73%	-	-	-	101.70%	-	-	-	-22.90%	43.20%	-	-11.72%	2.11%	0.00%	3.80%	-	-	0.30%	-	-	-	-	21.51M	-	-	1.54	-	0.39 - 12.09	-95.99%	24.33%	45.36	0.76	820.60K	0.93%	-21.99%	-21.51%	-76.90%	-	-76.11%	-	0.05	12.01% 10.18%	0.47	-
AMRX	3.27	3.3	-	996.60M	1.80M	2.10B	2.61	0.70	-	-	7000	Yes	Yes	2.40	330.00	3.52	-	0.47	1.26	4.73	4.75	1.50	2.30	7.17	7.09	2.44%	0.01	0.94	0.20	155.00%	-12.10%	15.00%	20.50%	0.90%	-132.40%	Aug 05 BMO	-3.51%	1.60%	0.00%	68.00%	0.00%	0.50%	4.50%	36.90%	6.20%	0.10%	0.00%	149.89M	118.22M	3.52%	5.52	6.30	2.90 - 5.99	-44.91%	13.79%	49.46	0.83	752.75K	3.77%	-2.94%	-19.32%	-30.67%	-29.64%	-31.11%	1.16	0.19	5.88% 6.05%	3.29	6.30
SHI	16.59	16.48	-	3.96B	309.40M	11.33B	41.70	8.42	1.57	9.53%	8156	No	Yes	4.00	5.76	-	-	0.35	0.40	1.96	-	1.00	1.30	0.07	0.02	-10.41%	2.86	-	-	221.40%	-1.10%	-19.10%	2.90%	5.50%	-25.70%	-	-11.25%	67.60%	0.00%	2.50%	4.60%	7.20%	2.40%	2.10%	1.90%	2.70%	0.00%	108.24M	50.86M	0.02%	0.68	27.00	16.06 - 27.94	-41.02%	2.62%	31.67	1.36	16.23K	-2.60%	-16.47%	-20.65%	-27.81%	-28.38%	-27.56%	0.59	0.54	2.08% 2.26%	16.31	27.00
BBD	3.26	3.25	-	31.21B	4.54B	14.49B	5.68	0.00	0.12	3.66%	87488	Yes	Yes	2.00	3.57	5.85	2.23	2.15	0.57	-	-	-	-	0.00	0.00	-6.62%	0.91	0.56	0.13	-24.70%	1.60%	-2.70%	-1.20%	0.50%	58.50%	-	-12.25%	35.30%	0.00%	17.80%	1.40%	16.70%	13.50%	-	80.00%	31.30%	61.00%	9.69B	7.60B	0.61%	1.27	4.88	2.94 - 4.56	-28.67%	10.66%	35.32	0.60	36.25M	-0.19%	-19.26%	-19.48%	6.30%	-21.90%	5.16%	1.00	0.11	2.69% 2.92%	3.23	4.88
PANW	511.95	524.22	-	51.54B	-389.60M	5.17B	3.41	39.41	-	-	11870	Yes	Yes	1.70	-	56.59	-	9.97	153.73	13.30	32.09	0.70	0.70	10.89	0.00	5.13%	-3.98	9.26	2.28	-87.80%	27.37%	-18.50%	25.30%	29.10%	50.60%	May 19 AMC	3.84%	1.50%	-8.84%	89.30%	-3.70%	-96.90%	-8.80%	69.30%	-5.10%	-7.50%	-	98.90M	97.85M	7.62%	4.63	631.08	358.37 - 640.90	-18.21%	46.28%	57.48	0.50	1.61M	6.13%	-0.53%	-13.61%	3.83%	35.63%	-5.84%	1.24	17.70	3.38% 3.39%	517.25	631.08
EIGR	7.85	8.61	-	345.69M	-85.80M	11.20M	2.76	3.31	-	-	43	Yes	Yes	1.00	-	-	-	30.87	3.12	2.60	-	4.00	4.00	0.33	0.20	42.63%	-2.50	-1.86	-0.62	56.80%	-	33.80%	-	-25.00%	-175.20%	May 05 AMC	32.71%	1.10%	-1.16%	75.20%	-59.50%	-93.20%	-73.90%	92.80%	-	-	-	35.25M	29.09M	5.79%	3.47	32.00	3.53 - 10.02	-14.08%	143.91%	75.38	1.27	484.97K	36.67%	40.69%	1.06%	72.89%	0.70%	65.90%	1.58	0.52	8.99% 8.09%	8.00	32.00
