"Symbol","Description","Universe","Schwab Equity Rating","Sector","Industry","Sub-Industry"
"MCFE","Mcafee Corp","Domestic","A","Information Technology","Software","Systems Software"
"MCK","Mckesson Corp","Domestic","A","Health Care","Health Care Providers & Services","Health Care Distributors"
"MD","MEDNAX Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Services"
"MDRX","Allscripts Healthcare Solutions Inc","Domestic","A","Health Care","Health Care Technology","Health Care Technology"
"MDT","Medtronic PLC","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"MEDP","Medpace Holdings Inc","Domestic","A","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services"
"MEI","Methode Electronics Inc","Domestic","A","Information Technology","Electronic Equipment, Instruments & Components","Electronic Manufacturing Services"
"MHK","Mohawk Industries Inc","Domestic","A","Consumer Discretionary","Household Durables","Home Furnishings"
"MLAB","Mesa Laboratories Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"MMSI","Merit Medical Systems Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Supplies"
"MODV","ModivCare Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Services"
"MOH","Molina Healthcare Inc","Domestic","A","Health Care","Health Care Providers & Services","Managed Health Care"
"MSBI","Midland States Bancorp Inc","Domestic","A","Financials","Banks","Regional Banks"
"MSFT","Microsoft Corp","Domestic","A","Information Technology","Software","Systems Software"
"MSI","Motorola Solutions Inc","Domestic","A","Information Technology","Communications Equipment","Communications Equipment"
"MSON","Misonix Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"MYFW","First Western Financial Inc","Domestic","A","Financials","Banks","Regional Banks"
"MYGN","Myriad Genetics Inc","Domestic","A","Health Care","Biotechnology","Biotechnology"
